tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,neutral,1,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,2/24/15 11:35,,Eastern Time (US & Canada)
5.70E+17,positive,0.3486,,0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,2/24/15 11:15,,Pacific Time (US & Canada)
5.70E+17,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,2/24/15 11:15,Lets Play,Central Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,"Late Flight
Flight Attendant Complaints",0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2/24/15 11:15,,Pacific Time (US & Canada)
5.70E+17,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,2/24/15 11:14,,Pacific Time (US & Canada)
5.70E+17,positive,1,,,United,,rdowning76,,0,@united thanks,,2/24/15 11:42,usa,
5.70E+17,positive,1,,,United,,CoreyAStewart,,0,@united Thanks for taking care of that MR!! Happy customer.,,2/24/15 11:42,"Richmond, VA",Eastern Time (US & Canada)
5.70E+17,negative,1,Cancelled Flight,0.703,United,,CoralReefer420,,0,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,,2/24/15 11:39,"Bay Area, California ",Alaska
5.70E+17,negative,1,Late Flight,1,United,,lsalazarll,,0,@united Delayed due to lack of crew and now delayed again because there's a long line for deicing... Still need to improve service #united,,2/24/15 11:39,,Mountain Time (US & Canada)
5.70E+17,positive,0.3441,,0,United,,rombaa,,0,@united thanks -- we filled it out. How's our luck with this? Is it common?,,2/24/15 11:38,,
5.70E+17,negative,0.3475,Can't Tell,0.3475,United,,samidip,,0,@united Your ERI-ORD express connections are hugely popular .. now if only we could have an ERI-EWR hop! :),,2/24/15 11:36,"Erie, PA",Eastern Time (US & Canada)
5.70E+17,neutral,0.645,,0,United,,karenmcgregor86,,0,@united even on international flight Glasgow to the U.S.? Then what about orlando to Newark? All 90 mins?,,2/24/15 11:33,"Kilmarnock, now Edinburgh. ",Edinburgh
5.70E+17,negative,0.6667,Can't Tell,0.3333,United,,andycheco,,0,@united you think you boarded flight AU1066 too early? I think so.,"[19.43706642, -99.07927123]",2/24/15 11:31,New York,Eastern Time (US & Canada)
5.70E+17,neutral,0.6761,,0,United,,hmansfield,,0,"@united I understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. It's a steep price.",,2/24/15 11:20,"Berkeley Heights, NJ",Quito
5.70E+17,negative,1,longlines,0.6624,Southwest,,thisradlove,,0,@SouthwestAir still waiting. Just hit one hour.,,2/24/15 11:47,Today I'm in: Maryland ,Atlantic Time (Canada)
5.70E+17,negative,0.6361,Cancelled Flight,0.6361,Southwest,,tomcblock,,0,@SouthwestAir although I'm not happy you Cancelled Flighted my flight home tomorrow (phx to atl then dca) I am happy on how easy it was to rebook,,2/24/15 11:47,"ÍñT: 38.965477,-77.428287",Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Southwest,,cindyjwhitaker,,0,@SouthwestAir Hello - been on hold for extremely long time. Have confirmation # &amp; can't get boarding pass. Have tried numerous times!!,,2/24/15 11:41,,Central Time (US & Canada)
5.70E+17,neutral,0.6443,,,Southwest,,liveseasoned,,0,"@SouthwestAir I'm teaching new #travelers how to research, #budget &amp; #save for a trip today! http://t.co/Qll48r57ep",,2/24/15 11:35,,
5.70E+17,negative,1,Customer Service Issue,1,Southwest,,cindyjwhitaker,,0,@SouthwestAir Very frustrated for the loooooong wait time to speak to a live person!!! Cannot get boarding pass for flight tomorrow!!,,2/24/15 11:33,,Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,Southwest,,Tim535353,,0,@SouthwestAir still no update text #2053 &amp; still no response to email fr1/5/2015 SR #256746438028. Feel like yr losing customer service/care,,2/24/15 11:31,"St. Louis, MO",Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.6761,Southwest,,tonybrancato,,0,@SouthwestAir your agents were the ones who were rude and unhelpful and prompted my initial tweet. This is so easy to fix.,"[41.19758614, -73.76914167]",2/24/15 11:29,Chappaqua NY,Eastern Time (US & Canada)
5.70E+17,negative,1,Bad Flight,0.6784,Southwest,,tonybrancato,,0,@SouthwestAir my wife had been in group A in prev. flight but got bumped for some reason.  Alone with two kids. At least put her in group A,"[41.1974934, -73.76920486]",2/24/15 11:28,Chappaqua NY,Eastern Time (US & Canada)
